index,Date,Open,High,Low,Close,Adj Close,Volume,dimension,exponent
0,2018-01-02,144.9499969482422,146.5,142.1999969482422,146.0,136.25389099121094,1171821,,
1,2018-01-03,147.5,149.4499969482422,146.85000610351562,148.1999969482422,138.3069610595703,1531424,,
2,2018-01-04,149.0500030517578,150.4499969482422,147.64999389648438,149.85000610351562,139.84681701660156,1606148,,
3,2018-01-05,150.0,151.85000610351562,149.64999389648438,151.85000610351562,141.7133331298828,1087996,,
4,2018-01-08,153.0,153.85000610351562,151.89999389648438,153.75,143.48646545410156,907322,,
5,2018-01-09,153.35000610351562,154.64999389648438,152.1999969482422,153.35000610351562,143.1132049560547,1182232,,
6,2018-01-10,152.75,153.10000610351562,149.6999969482422,150.35000610351562,140.31344604492188,1230355,,
7,2018-01-11,151.25,151.4499969482422,147.89999389648438,148.1999969482422,138.3069610595703,1295237,,
8,2018-01-12,148.75,149.9499969482422,147.60000610351562,149.35000610351562,139.38023376464844,1000904,,
9,2018-01-15,150.8000030517578,153.1999969482422,150.39999389648438,151.8000030517578,141.6666717529297,1381535,,
10,2018-01-16,152.5,154.35000610351562,152.10000610351562,153.64999389648438,143.39317321777344,1405010,,
11,2018-01-17,160.0,163.9499969482422,158.14999389648438,161.25,150.48583984375,3407976,,
12,2018-01-18,164.10000610351562,166.60000610351562,163.3000030517578,166.60000610351562,155.47866821289062,2481048,,
13,2018-01-19,166.5,168.14999389648438,165.3000030517578,166.89999389648438,155.7586669921875,1780624,,
14,2018-01-22,167.0,169.1999969482422,166.10000610351562,166.5500030517578,155.43203735351562,1491836,,
15,2018-01-23,167.85000610351562,168.0,166.35000610351562,167.0,155.85202026367188,1209697,,
16,2018-01-24,166.25,166.6999969482422,163.3000030517578,163.3000030517578,152.3989715576172,1403768,,
17,2018-01-25,163.39999389648438,167.35000610351562,163.35000610351562,163.75,152.81893920898438,1827969,,
18,2018-01-26,163.35000610351562,166.0500030517578,162.85000610351562,165.8000030517578,154.73208618164062,1086670,,
19,2018-01-29,166.75,166.9499969482422,163.5500030517578,164.1999969482422,153.2388916015625,1111087,,
20,2018-01-30,163.5500030517578,165.3000030517578,162.25,163.10000610351562,152.2123565673828,1052820,,
21,2018-01-31,163.10000610351562,164.75,162.3000030517578,163.1999969482422,152.30564880371094,1226497,,
22,2018-02-01,164.1999969482422,164.35000610351562,161.85000610351562,162.25,151.41908264160156,1050211,,
23,2018-02-02,160.9499969482422,161.0,158.0,158.14999389648438,147.59275817871094,1357214,,
24,2018-02-05,156.5,158.35000610351562,154.60000610351562,157.14999389648438,146.6595001220703,1574436,,
25,2018-02-06,150.10000610351562,154.39999389648438,150.10000610351562,152.14999389648438,141.99327087402344,3615438,,
26,2018-02-07,155.8000030517578,156.0,153.5500030517578,155.6999969482422,145.3063201904297,1831053,,
27,2018-02-08,152.85000610351562,153.89999389648438,147.1999969482422,148.0,138.1203155517578,2048777,,
28,2018-02-09,147.6999969482422,150.85000610351562,145.89999389648438,147.1999969482422,137.37376403808594,2304425,,
29,2018-02-12,150.0,151.1999969482422,148.8000030517578,150.85000610351562,140.7800750732422,1649973,,
30,2018-02-13,151.0,151.14999389648438,148.8000030517578,149.39999389648438,139.42686462402344,1071300,,
31,2018-02-14,150.3000030517578,153.0,147.89999389648438,152.6999969482422,142.50657653808594,1338162,,
32,2018-02-15,154.0,155.0,153.0500030517578,154.3000030517578,143.99978637695312,1175153,,
